"Rank","Name","Industry","Revenue(USD millions)","Revenue growth","Employees","Headquarters","ESG"
1,"Walmart","Retail","523,964","1.9%","2,200,000","Bentonville, Arkansas",28.9
2,"Amazon","Retail","280,522","20.5%","798,000","Seattle, Washington",27.4
3,"Exxon Mobil","Oil and Gas","264,938","8.7%","74,900","Irving, Texas",32.3
4,"Apple","Electronics","260,174","2.0%","137,000","Cupertino, California",16.6
5,"CVS Health","Healthcare","256,776","32.0%","290,000","Woonsocket, Rhode Island",21
6,"Berkshire Hathaway","Conglomerate","254,616","2.7%","391,500","Omaha, Nebraska",17.1
7,"UnitedHealth Group","Healthcare","242,155","7.0%","325,000","Minnetonka, Minnesota",21.2
8,"McKesson","Healthcare","214,319","2.9%","70,000","Irving, Texas",19.8
10,"AmerisourceBergen","Pharmaceuticals","179,589","6.9%","21,500","Chesterbrook, Pennsylvania",12.9
11,"Alphabet","Technology","161,857","18.3%","118,899","Mountain View, California",22.8
12,"Ford","Automotive","155,900","2.8%","190,000","Dearborn, Michigan",30
13,"Cigna","Health Insurance","153,566","215.7%","73,700","Bloomfield, Connecticut",15.1
14,"Costco","Retail","152,703","7.9%","201,500","Issaquah, Washington",22.3
15,"Chevron","Oil and Gas","146,516","11.9%","48,200","San Ramon, California",40.3
16,"Cardinal Health","Healthcare","145,534","6.4%","49,500","Dublin, Ohio",15.7
17,"JPMorgan Chase","Financials","142,422","8.4%","256,981","New York City, New York",24.8
18,"General Motors","Automotive","137,237","6.7%","164,000","Detroit, Michigan",30
19,"Walgreens Boots Alliance","Pharmaceuticals","136,866","4.1%","287,000","Deerfield, Illinois",17.3
20,"Verizon","Telecommunications","131,868","0.8%","135,000","New York City, New York",18.1
21,"Microsoft","Technology","125,843","14.0%","144,000","Redmond, Washington",14.9
22,"Marathon Petroleum","Oil and gas","124,813","28.5%","60,910","Findlay, Ohio",28.7
23,"Kroger","Retail","122,286","0.9%","435,000","Cincinnati, Ohio",20.4
25,"Bank of America","Financials","113,589","2.7%","208,131","Charlotte, North Carolina",26.3
26,"The Home Depot","Retail","110,225","1.9%","415,700","Atlanta, Georgia",11.5
27,"Phillips 66","Oil and gas","109,559","4.1%","14,500","Houston, Texas",31
28,"Comcast","Telecommunications","108,942","15.3%","190,000","Philadelphia, Pennsylvania",19.7
29,"Anthem","Healthcare","104,213","13.1%","70,600","Indianapolis, Indiana",13.3
30,"Wells Fargo","Financials","103,915","2.8%","259,800","San Francisco, California",30.8
