"","rank","name","industry","revenue_usd_millions","revenue_growth","employees","County","State","esg","sector","sector_group"
"1",1,"Walmart","Retail",523964,1.9,2200000,"Bentonville","Arkansas",28.9,"Consumer Discretionary","Consumer Disc. and Staples"
"2",2,"Amazon","Retail",280522,20.5,798000,"Seattle","Washington",27.4,"Consumer Discretionary","Consumer Disc. and Staples"
"3",3,"Exxon Mobil","Oil and Gas",264938,8.7,74900,"Irving","Texas",32.3,"Energy","Energy, Materials, and Industrials"
"4",4,"Apple","Electronics",260174,2,137000,"Cupertino","California",16.6,"Technology","Tech, Telecomm, and Communications"
"5",5,"CVS Health","Healthcare",256776,32,290000,"Woonsocket","Rhode Island",21,"Health Care","Health Care"
"6",6,"Berkshire Hathaway","Conglomerate",254616,2.7,391500,"Omaha","Nebraska",17.1,"Financials","Financials"
"7",7,"UnitedHealth Group","Healthcare",242155,7,325000,"Minnetonka","Minnesota",21.2,"Health Care","Health Care"
"8",8,"McKesson","Healthcare",214319,2.9,70000,"Irving","Texas",19.8,"Health Care","Health Care"
"9",10,"AmerisourceBergen","Pharmaceuticals",179589,6.9,21500,"Chesterbrook","Pennsylvania",12.9,"Health Care","Health Care"
"10",11,"Alphabet","Technology",161857,18.3,118899,"Mountain View","California",22.8,"Technology","Tech, Telecomm, and Communications"
"11",12,"Ford","Automotive",155900,2.8,190000,"Dearborn","Michigan",30,"Consumer Discretionary","Consumer Disc. and Staples"
"12",14,"Costco","Retail",152703,7.9,201500,"Issaquah","Washington",22.3,"Consumer Discretionary","Consumer Disc. and Staples"
"13",15,"Chevron","Oil and Gas",146516,11.9,48200,"San Ramon","California",40.3,"Energy","Energy, Materials, and Industrials"
"14",16,"Cardinal Health","Healthcare",145534,6.4,49500,"Dublin","Ohio",15.7,"Health Care","Health Care"
"15",17,"JPMorgan Chase","Financials",142422,8.4,256981,"New York City","New York",24.8,"Financials","Financials"
"16",18,"General Motors","Automotive",137237,6.7,164000,"Detroit","Michigan",30,"Consumer Discretionary","Consumer Disc. and Staples"
"17",19,"Walgreens Boots Alliance","Pharmaceuticals",136866,4.1,287000,"Deerfield","Illinois",17.3,"Health Care","Health Care"
"18",20,"Verizon","Telecommunications",131868,0.8,135000,"New York City","New York",18.1,"Telecommunications","Tech, Telecomm, and Communications"
"19",21,"Microsoft","Technology",125843,14,144000,"Redmond","Washington",14.9,"Technology","Tech, Telecomm, and Communications"
"20",22,"Marathon Petroleum","Oil and gas",124813,28.5,60910,"Findlay","Ohio",28.7,"Energy","Energy, Materials, and Industrials"
"21",23,"Kroger","Retail",122286,0.9,435000,"Cincinnati","Ohio",20.4,"Consumer Discretionary","Consumer Disc. and Staples"
"22",25,"Bank of America","Financials",113589,2.7,208131,"Charlotte","North Carolina",26.3,"Financials","Financials"
"23",26,"The Home Depot","Retail",110225,1.9,415700,"Atlanta","Georgia",11.5,"Consumer Discretionary","Consumer Disc. and Staples"
"24",27,"Phillips 66","Oil and gas",109559,4.1,14500,"Houston","Texas",31,"Energy","Energy, Materials, and Industrials"
"25",28,"Comcast","Telecommunications",108942,15.3,190000,"Philadelphia","Pennsylvania",19.7,"Telecommunications","Tech, Telecomm, and Communications"
"26",29,"Anthem","Healthcare",104213,13.1,70600,"Indianapolis","Indiana",13.3,"Health Care","Health Care"
"27",30,"Wells Fargo","Financials",103915,2.8,259800,"San Francisco","California",30.8,"Financials","Financials"
"28",31,"Citigroup","Financials",103449,6.5,2e+05,"New York City","New York",26.3,"Financials","Financials"
"29",32,"Valero","Oil and gas",102729,7.8,10222,"San Antonio","Texas",37.3,"Energy","Energy, Materials, and Industrials"
"30",33,"General Electric","Conglomerate",95214,20.8,205000,"Boston","Massachusetts",45.9,"Industrials","Energy, Materials, and Industrials"
"31",34,"Dell","Technology",92154,1.7,165000,"Round Rock","Texas",16,"Technology","Tech, Telecomm, and Communications"
"32",35,"Johnson & Johnson","Pharmaceuticals",82059,0.6,132200,"New Brunswick","New Jersey",32.8,"Health Care","Health Care"
"33",37,"Target","Retail",78112,3.7,368000,"Minneapolis","Minnesota",15.4,"Consumer Discretionary","Consumer Disc. and Staples"
"34",38,"IBM","Technology",77147,3.1,383800,"Armonk","New York",17.7,"Technology","Tech, Telecomm, and Communications"
"35",39,"United Technologies","Conglomerate",77046,15.9,243200,"Waltham","Massachusetts",28.6,"Industrials","Energy, Materials, and Industrials"
"36",40,"Boeing","Aerospace and defense",76559,24.3,161100,"Chicago","Illinois",37,"Industrials","Energy, Materials, and Industrials"
"37",42,"Centene","Healthcare",74639,24.2,56600,"St. Louis","Missouri",22.7,"Health Care","Health Care"
"38",43,"United Parcel Service","Transportation",74094,3.1,377640,"Atlanta","Georgia",21.4,"Industrials","Energy, Materials, and Industrials"
"39",44,"Lowe's","Retail",72148,1.2,260000,"Mooresville","North Carolina",12.6,"Consumer Discretionary","Consumer Disc. and Staples"
"40",45,"Intel","Technology",71965,1.6,110800,"Santa Clara","California",15.8,"Technology","Tech, Telecomm, and Communications"
"41",46,"Facebook","Technology",70697,26.6,44942,"Menlo Park","California",31.4,"Technology","Tech, Telecomm, and Communications"
"42",47,"FedEx","Transportation",69693,6.5,389500,"Memphis","Tennessee",21.3,"Industrials","Energy, Materials, and Industrials"
"43",48,"MetLife","Financials",69620,2.5,49000,"New York City","New York",18.6,"Financials","Financials"
"44",49,"Walt Disney","Media",69570,17.1,223000,"Burbank","California",16.2,"Communication Services","Tech, Telecomm, and Communications"
"45",50,"Procter & Gamble","Retail",67684,1.3,97000,"Cincinnati","Ohio",24.7,"Consumer Discretionary","Consumer Disc. and Staples"
"46",51,"PepsiCo","Beverage",67161,3.7,267000,"Purchase","New York",17.5,"Consumer Staples","Consumer Disc. and Staples"
"47",52,"Humana","Health Insurance",64888,14,46000,"Louisville","Kentucky",23.2,"Health Care","Health Care"
"48",53,"Prudential Financial","Financials",64807,2.9,51511,"Newark","New Jersey",20.6,"Financials","Financials"
"49",54,"Archer-Daniels-Midland","Food production",64656,0.5,38100,"Chicago","Illinois",34.2,"Consumer Staples","Consumer Disc. and Staples"
