Rank,Company,Industry,extra,Country1,Country2,Country
#1,Ørsted A/S,Wholesale Power,🇩🇰,Denmark,NA,Denmark 
#2,Chr. Hansen Holding A/S,Food and other chemical agents,🇩🇰,Denmark,NA,Denmark 
#3,Neste Oyj,Petroleum Refineries,🇫🇮,Finland,NA,Finland 
#6,Novozymes A/S,Specialty and Performance Chemicals,🇩🇰,Denmark,NA,Denmark 
#7,ING Groep NV,Banks,🇳🇱,Netherlands,NA,Netherlands 
#8,Enel SpA,Wholesale Power,🇮🇹,Italy,NA,Italy 
#11,Osram Licht AG,Electrical Equipment and Power Systems,🇩🇪,Germany,NA,Germany 
#13,Storebrand ASA,Insurance,🇳🇴,Norway,NA,Norway 
#14,Umicore SA,Primary Metals Products,🇧🇪,Belgium,NA,Belgium 
#17,Iberdrola SA,Wholesale Power,🇪🇸,Spain,NA,Spain 
#18,Outotec Oyj,Machinery Manufacturing,🇫🇮,Finland,NA,Finland 
#20,Accenture PLC,Technology Consulting Services,🇮🇪,Ireland,NA,Ireland 
#21,Dassault Systemes SE,Software,🇫🇷,France,NA,France 
#23,Kering SA,Apparel and Accessory Products,🇫🇷,France,NA,France 
#24,UPM-Kymmene Oyj,Forestry and Paper Products,🇫🇮,Finland,NA,Finland 
#27,H & M Hennes & Mauritz AB,Apparel and Accessories Retail,🇸🇪,Sweden,NA,Sweden 
#28,Sanofi SA,Biopharmaceuticals,🇫🇷,France,NA,France 
#29,Schneider Electric SE,Industrial Conglomerates,🇫🇷,France,NA,France 
#31,BNP Paribas SA,Banks,🇫🇷,France,NA,France 
#32,Kone Oyj,Machinery Manufacturing,🇫🇮,Finland,NA,Finland 
#33,Verbund AG,Wholesale Power,🇦🇹,Austria,NA,Austria 
#34,Valeo SA,Consumer Vehicles and Parts,🇫🇷,France,NA,France 
#35,ERG S.p.A.,Wholesale Power,🇮🇹,Italy,NA,Italy 
#37,Vestas Wind Systems A/S,Electrical Equipment and Power Systems,🇩🇰,Denmark,NA,Denmark 
#38,bioMérieux,Diagnostics and Drug Delivery Devices,🇫🇷,France,NA,France 
#39,Intesa Sanpaolo SpA,Banks,🇮🇹,Italy,NA,Italy 
#40,Koninklijke KPN NV,Wireless and Wireline Telecomm. Services,🇳🇱,Netherlands,NA,Netherlands 
#41,Siemens AG,Industrial Conglomerates,🇩🇪,Germany,NA,Germany 
#45,Koninklijke DSM NV,Food and other chemical agents,🇳🇱,Netherlands,NA,Netherlands 
#46,Unilever PLC,Personal Care and Cleaning Products,🇬🇧,UK,NA,UK 
#52,Ericsson,Communications Equipment,🇸🇪,Sweden,NA,Sweden 
#55,Adidas AG,Apparel and Accessory Products,🇩🇪,Germany,NA,Germany 
